project_name,nb_XML_files_beans_config,nb_Java_files_beans_config,nb_total_files_beans_config,nb_XML_beans,nb_Java_beans,nb_total_beans,is_autowired,nb_Java_files,LoC_Java,stargazers_count,watchers_count,forks_count,open_issues_count,score,size,created_at,
417511458/jbone,0,25,25,0,90,90,True,393,13447,433,433,294,0,24.127323,24787,2017-12-26T15:17:33Z,
527515025/springBoot,0,44,44,0,57,57,True,147,4715,1746,1746,1064,16,82.27074,352,2016-11-07T02:13:31Z,
7040210/SuperBoot,0,8,8,0,18,18,True,230,15870,158,158,65,0,15.326879,27500,2017-09-13T09:55:32Z,
aatarasoff/spring-thrift-starter,0,2,2,0,4,4,True,23,1049,127,127,46,4,40.655323,270,2015-09-07T21:01:07Z,
abel533/Mybatis-Spring,2,0,2,20,0,20,False,16,414,794,794,567,23,63.453518,1902,2014-11-21T17:03:40Z,
abel533/MyBatis-Spring-Boot,0,0,0,0,0,0,True,16,451,2315,2315,1330,90,67.71668,148,2015-12-19T09:57:22Z,
aboullaite/spring-boot-jwt,0,1,1,0,3,3,True,9,252,106,106,47,0,40.404003,7,2017-02-04T11:32:09Z,
Activiti/Activiti,0,12,12,0,68,68,True,1714,92824,4393,4393,3333,233,54.326878,94183,2012-09-13T11:34:43Z,
adrianbk/swagger-springmvc-demo,0,3,3,0,7,7,True,25,1131,158,158,106,11,46.1224,1346,2013-11-17T13:26:16Z,
aerospike/recommendation-engine-example,0,1,1,0,6,6,True,12,1088,105,105,38,1,26.484251,888609,2014-01-07T23:01:31Z,
alibaba/cobarclient,0,0,0,0,0,0,False,55,3425,507,507,376,3,33.270992,968,2013-07-15T02:22:23Z,
alibaba/dubbo-spring-boot-starter,0,2,2,0,3,3,False,12,859,1348,1348,530,33,67.050995,81,2017-01-20T08:02:19Z,
alibaba/jetcache,0,6,6,0,11,11,True,163,8677,1108,1108,281,35,41.59525,1912,2017-04-12T07:48:23Z,
alibaba/velocity-spring-boot-project,0,3,3,0,10,10,True,38,1409,160,160,39,1,40.15028,108,2018-06-15T03:43:42Z,
alipay/sofa-boot,7,4,11,13,23,36,True,186,7609,2229,2229,574,10,36.82168,999,2018-04-02T08:28:14Z,
ameizi/spring-quartz-cluster-sample,2,0,2,7,0,7,False,10,580,172,172,132,0,47.77201,107,2016-08-04T08:16:21Z,
anilallewar/microservices-basics-spring-boot,0,2,2,0,2,2,True,23,911,318,318,202,9,51.689278,5395,2017-04-20T10:48:46Z,
aol/micro-server,0,27,27,0,42,42,True,284,10684,890,890,209,49,40.868324,8230,2015-02-23T21:54:25Z,
